sample_id,sigma0,ramp,omega,cyc_frac,Y0,a_crit,A_rate,D_c,m_sub,noise_sigma,seed,a0,h,tf,t_fp,a_fp,finite
20,0.6595030174415711,0.0,0.0,0.0,0.8984415563035941,2.0,1.4219258530731613,0.12329210377419883,0.5,0.2,1111,1e-06,0.2,6.5,4.000000000000001,0.05737594326846502,1
21,0.6092910078743944,0.0,0.0,0.0,1.153050399975453,2.0,1.3501043756709232,0.10950240452659782,0.5,0.2,1111,1e-06,0.2,6.5,0.2,0.07330608456283552,1
22,0.7034982248401405,0.0,0.0,0.0,1.184154731143603,2.0,1.4720012274937675,0.12187941112461996,0.5,0.2,1111,1e-06,0.2,6.5,1.5999999999999999,0.13489508388820787,1
23,0.8752313020428399,0.0,0.0,0.0,0.9116392121637205,2.0,1.3357911024777893,0.1176591884642624,0.5,0.2,1111,1e-06,0.2,6.5,0.4,0.13565950198279483,1
24,0.7407726160384913,0.0,0.0,0.0,1.1885990121740564,2.0,1.7795896461075131,0.12816488247266244,0.5,0.2,1111,1e-06,0.2,6.5,0.4,0.1771907035705204,1
25,0.7229218104781789,0.0,0.0,0.0,1.0485850223482673,2.0,1.578504574675286,0.12145731108515602,0.5,0.2,1111,1e-06,0.2,6.5,2.8000000000000003,0.13055199190946698,1
26,0.8206252771700604,0.0,0.0,0.0,0.9302828950977649,2.0,1.481948310975552,0.11901411881340467,0.5,0.2,1111,1e-06,0.2,6.5,inf,nan,0
27,0.6945765504932968,0.0,0.0,0.0,0.9129466989012753,2.0,1.1750788531106118,0.11730223852873432,0.5,0.2,1111,1e-06,0.2,6.5,1.0,0.11165155789967125,1
28,0.8646559734447699,0.0,0.0,0.0,1.0745929238592093,2.0,1.6185317833329422,0.1191710607697795,0.5,0.2,1111,1e-06,0.2,6.5,1.9999999999999998,0.06038761865554559,1
29,0.6146390563125954,0.0,0.0,0.0,0.979728704007371,2.0,1.7906660871264126,0.11632185620855637,0.5,0.2,1111,1e-06,0.2,6.5,3.0000000000000004,0.15465697616315613,1
30,0.8439072740934205,0.0,0.0,0.0,1.0520122892890493,2.0,1.4576116235499432,0.1267677975418258,0.5,0.2,1111,1e-06,0.2,6.5,3.0000000000000004,0.12178475079716623,1
31,0.5148088017430449,0.0,0.0,0.0,0.9436001946911354,2.0,1.4352640583911933,0.12497203235881005,0.5,0.2,1111,1e-06,0.2,6.5,3.600000000000001,0.06004106932223513,1
32,0.8709474293506811,0.0,0.0,0.0,0.8310027186903608,2.0,1.4062802099776215,0.11909596774960907,0.5,0.2,1111,1e-06,0.2,6.5,0.2,0.07004391925758108,1
33,0.7802191973609705,0.0,0.0,0.0,1.0857762970401919,2.0,1.6512120126609393,0.11597190205409319,0.5,0.2,1111,1e-06,0.2,6.5,3.2000000000000006,0.17170809736553336,1
34,0.6223523248685054,0.0,0.0,0.0,1.1865159662012075,2.0,1.272385917102014,0.1113028246882542,0.5,0.2,1111,1e-06,0.2,6.5,2.1999999999999997,0.02969088418172808,1
35,0.6468241089917051,0.0,0.0,0.0,0.9421979156421262,2.0,1.7496470166263074,0.11171923960989828,0.5,0.2,1111,1e-06,0.2,6.5,1.9999999999999998,0.08832708762939447,1
